N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,대한항공,"25,050","1,900",-7.05%,"5,000","43,640","174,210",12.25,"25,411,195",-3.73,-22.09,
60,녹십자,"373,000","9,500",+2.61%,"5,000","43,591","11,687",19.31,"315,015",729.94,-0.35,
61,HMM,"13,150",950,-6.74%,"5,000","42,965","326,726",6.23,"15,103,155",-16.86,-55.46,
62,유한양행,"63,200",300,-0.47%,"1,000","42,254","66,857",20.94,"169,925",25.49,2.43,
63,한국금융지주,"75,600","1,600",-2.07%,"5,000","42,129","55,726",30.74,"460,592",7.15,18.14,
64,아모레G,"50,200","1,800",+3.72%,500,"41,394","82,458",19.62,"410,650",68.49,4.12,
65,한국타이어앤테크놀로지,"32,950",50,-0.15%,500,"40,817","123,875",37.87,"213,890",13.78,6.03,
66,금호석유,"133,500","4,500",-3.26%,"5,000","40,674","30,468",27.97,"390,430",15.27,11.84,
67,현대중공업지주,"256,000","1,500",-0.58%,"5,000","40,444","15,799",17.86,"35,270",-18.05,2.20,
68,두산중공업,"15,850",100,+0.63%,"5,000","40,123","253,141",9.30,"3,349,775",-3.39,-14.73,
69,삼성중공업,"6,230",130,-2.04%,"5,000","39,249","630,000",15.45,"9,260,074",-2.15,-21.88,
70,현대건설,"34,650","1,550",+4.68%,"5,000","38,585","111,356",20.01,"2,651,520",11.47,6.30,
71,맥쿼리인프라,"10,950",0,0.00%,0,"38,220","349,044",14.86,"467,636",N/A,N/A,
72,삼성카드,"32,250",150,-0.46%,"5,000","37,364","115,859",10.01,"131,976",9.97,5.04,
73,LG이노텍,"155,000","2,500",-1.59%,"5,000","36,684","23,667",35.20,"109,410",16.05,4.73,
74,CJ대한통운,"158,000","1,500",-0.94%,"5,000","36,044","22,812",22.11,"43,120",39.88,1.41,
75,롯데지주,"33,700",750,+2.28%,200,"35,354","104,909",11.38,"329,457",-5.08,-5.21,
76,한미사이언스,"53,500",200,-0.37%,500,"35,316","66,011",1.78,"113,611",124.71,4.73,
77,GS,"37,750",300,-0.79%,"5,000","35,076","92,915",20.15,"312,255",-31.22,6.26,
78,삼성증권,"38,750",500,+1.31%,"5,000","34,604","89,300",25.92,"632,211",10.63,8.15,
79,한미약품,"290,000","6,500",+2.29%,"2,500","34,345","11,843",13.98,"53,214",95.27,7.30,
80,DB손해보험,"45,750","1,050",-2.24%,500,"32,391","70,800",40.62,"174,795",5.98,6.92,
81,호텔신라,"80,900",200,+0.25%,"5,000","31,752","39,248",21.46,"731,420",-42.78,20.16,
82,두산밥캣,"31,650",500,-1.56%,500,"31,729","100,249",20.58,"162,815",17.33,7.05,
83,에스원,"83,100",300,-0.36%,500,"31,577","37,999",55.38,"48,820",21.35,11.32,
84,현대차2우B,"86,500",500,+0.58%,"5,000","31,560","36,485",60.36,"118,370",12.46,N/A,
85,NH투자증권,"11,050",150,+1.38%,"5,000","31,096","281,409",14.63,"1,608,737",7.23,9.12,
86,더존비즈온,"103,000",0,0.00%,500,"30,997","30,094",45.08,"39,902",64.29,18.78,
87,SKC,"81,300",200,+0.25%,"5,000","30,516","37,535",8.07,"148,445",29.46,3.86,
88,동서,"29,400",600,-2.00%,500,"29,312","99,700",5.25,"192,009",21.30,10.53,
89,대림산업,"82,700",400,-0.48%,"5,000","28,780","34,800",38.57,"205,317",4.38,11.74,
90,대우조선해양,"26,400",250,+0.96%,"5,000","28,325","107,291",9.05,"984,329",-30.45,-1.22,
91,롯데쇼핑,"99,300","2,600",+2.69%,"5,000","28,091","28,289",12.00,"183,636",-2.07,-8.14,
92,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
93,휠라홀딩스,"45,050",650,+1.46%,"1,000","27,369","60,752",45.15,"456,618",13.63,23.81,
94,한국가스공사,"29,000",250,-0.85%,"5,000","26,771","92,313",8.91,"221,979",-5.99,0.48,
95,키움증권,"119,000","4,000",-3.25%,"5,000","26,346","22,139",25.47,"176,944",7.98,16.97,
96,GS리테일,"34,050",300,+0.89%,"1,000","26,218","77,000",14.42,"297,970",15.70,6.25,
97,LG화학우,"340,500","4,000",+1.19%,"5,000","26,180","7,689",58.93,"17,787",58.70,N/A,
98,GS건설,"31,600",100,+0.32%,"5,000","25,311","80,098",28.21,"328,279",6.63,11.79,
99,메리츠증권,"3,715",25,-0.67%,"1,000","25,112","675,962",12.82,"2,191,464",5.06,15.06,
100,삼성엔지니어링,"12,800",150,-1.16%,"5,000","25,088","196,000",26.96,"3,220,183",9.70,24.62,
